t2.actividad,codigo_proceso,matched_codigo_arquetipo,matched_nombre_arquetipo,Capacidad de Procesos (Nivel 3),Código Capacidad,Arquetipos Relacionado
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear cumplimiento de misiones,,
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,"Monitorear experiencias, ofertas y alianzas",,
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear indicadores de calidad de datos,,
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear y auditar parÃ¡metros,,
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear accesos,,
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear saldos contables,,
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear saldos operativos,,
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear vigencia del parÃ¡metro,,Aplicar novedad
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear vigencia del parÃ¡metro,,Aplicar novedades
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear y controlar reportes y KPI,,
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear desempeÃ±o de auditorÃ­a,,
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear entorno,,
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear la evoluciÃ³n de principalidad por cliente,,Ninguno
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear la satisfacciÃ³n y valor percibido de experiencias no financieras,,
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear el desempeÃ±o de aliados y cumplimiento de SLAs,,
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear la efectividad de cambios y optimizaciones,,
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,"Monitorear menciones de marca, productos y campaÃ±as",,
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear la conversiÃ³n y penetraciÃ³n digital,,
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear la experiencia de ventas digitales,,
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear niveles de fondeo,,Fondear transacciÃ³n monetaria
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear experiencia,,Atender solicitudes de usuarios
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear experiencia,,Atender solicitudes de usuario
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear consumos,,Causar condiciones financieras del producto
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear informaciÃ³n,,Generar informaciÃ³n
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear gestiÃ³n de novedades,,
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Establecer parametros e informaciÃ³n a monitorear,,
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Trazar y monitorear ciclo de vida de las facturas,,
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear comportamiento de clientes,,
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear eventos criticos,,
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear disponibilidad de sistemas y plataforma,,
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear Apertura,,Abrir producto
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear cumplimiento de condiciones econÃ³micas,,Causar condiciones financieras del producto
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear pago,,Solicitar el pago de proveedores y aliados
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear transacciÃ³n,,Ejecutar transacciÃ³n monetaria
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear novedades,,Aplicar novedad
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear novedades,,Aplicar novedades
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear cambios regulatorios.,,
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear la disponibilidad del canal,,
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear el comportamiento del cliente en el canal,,
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear riesgos operativos asociados al canal,,
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear los niveles de servicio del canal,,
monitorear ,T160112,ARQ013,Ejecutar transacción monetaria,Monitorear inventarios de efectivo,,Coordinar transporte y distribuciÃ³n de efectivo
realizar seguimiento ,T160112,ARQ013,Ejecutar transacción monetaria,Realizar seguimiento a planes de acciÃ³n,,
realizar seguimiento ,T160112,ARQ013,Ejecutar transacción monetaria,Realizar seguimiento al desempeÃ±o por etapa del ciclo de vida,,
realizar seguimiento ,T160112,ARQ013,Ejecutar transacción monetaria,Realizar seguimiento a planes de acciÃ³n.,,
notificar inconsistencias de la escritura ,T160112,ARQ013,Ejecutar transacción monetaria,Notificar inconsistencias,,
gestionar alerta ,T160112,ARQ013,Ejecutar transacción monetaria,Gestionar alertas,,
validar condiciones ,T160112,ARQ013,Ejecutar transacción monetaria,Validar condiciones del producto origen,,Ejecutar transacciÃ³n monetaria
validar condiciones ,T160112,ARQ013,Ejecutar transacción monetaria,Validar condiciones aprobadas ,,
validar condiciones ,T160112,ARQ013,Ejecutar transacción monetaria,Validar condiciones de acceso del cliente al canal,,
reportar inconsistencia ,T160112,ARQ013,Ejecutar transacción monetaria,Detectar y reportar inconsistencias operativas,,
generar informe ,T160112,ARQ013,Ejecutar transacción monetaria,Generar informes de monitoreo,,
notificar inconsistencias de la garantía ,T160112,ARQ013,Ejecutar transacción monetaria,Notificar inconsistencias,,
notificar inconsistencias ,T160112,ARQ013,Ejecutar transacción monetaria,Notificar inconsistencias,,
generar documento legal ,T160112,ARQ013,Ejecutar transacción monetaria,Generar documento,,Abrir producto
generar documento legal ,T160112,ARQ013,Ejecutar transacción monetaria,Generar documento,,Aplicar novedad
elaborar informe ,T160112,ARQ013,Ejecutar transacción monetaria,Elaborar informe o reporte,,Generar informaciÃ³n
generar informes ,T160112,ARQ013,Ejecutar transacción monetaria,Generar informes de monitoreo,,
recibir documentos ,T160147,ARQ013,Ejecutar transacción monetaria,Recibir documentos comerciales,,
gestionar alertas [cp0191] ,T160150,ARQ013,Ejecutar transacción monetaria,Gestionar alertas,,
recibir solicitud de creación de tarjetas ,T160159,ARQ005,Aplicar novedad,Recibir solicitud,,
segmentar clientes potenciales ,T160220,ARQ005,Aplicar novedad,Segmentar cliente,,
segmentar clientes potenciales ,T160220,ARQ005,Aplicar novedad,Segmentar cliente,,Realizar VinculaciÃ³n
reportar inconsistencias ,T160220,ARQ123,Ejecutar cuadre contable del producto,Detectar y reportar inconsistencias operativas,,
generar informe ,T160220,ARQ005,Aplicar novedad,Generar informes de monitoreo,,
generar documento legal [act369] ,T160220,ARQ005,Aplicar novedad,Generar documento,,Abrir producto
generar documento legal [act369] ,T160220,ARQ005,Aplicar novedad,Generar documento,,Aplicar novedad
monitorear experiencia del cliente [act366] ,T160273,ARQ005,Aplicar novedad,Monitorear experiencia,,Atender solicitudes de usuarios
monitorear experiencia del cliente [act366] ,T160273,ARQ005,Aplicar novedad,Monitorear experiencia,,Atender solicitudes de usuario
contingencia ,T160273,ARQ123,Ejecutar cuadre contable del producto,Gestionar contingencias de ejecuciÃ³n,,
contingencia ,T160273,ARQ123,Ejecutar cuadre contable del producto,Gestionar contingencias en experiencias de venta digital,,
contingencia ,T160273,ARQ123,Ejecutar cuadre contable del producto,Atender contingencias operativas,,
realizar seguimiento ,T160273,ARQ005,Aplicar novedad,Realizar seguimiento a planes de acciÃ³n,,
realizar seguimiento ,T160273,ARQ005,Aplicar novedad,Realizar seguimiento al desempeÃ±o por etapa del ciclo de vida,,
realizar seguimiento ,T160273,ARQ005,Aplicar novedad,Realizar seguimiento a planes de acciÃ³n.,,
ventas ,T160273,ARQ123,Ejecutar cuadre contable del producto,Definir la estrategia de atracciÃ³n para ventas digitales,,
ventas ,T160273,ARQ123,Ejecutar cuadre contable del producto,Ejecutar acciones de atracciÃ³n de clientes para ventas digitales,,
ventas ,T160273,ARQ123,Ejecutar cuadre contable del producto,Definir la estrategia de conversiÃ³n en ventas digitales,,
ventas ,T160273,ARQ123,Ejecutar cuadre contable del producto,Monitorear la experiencia de ventas digitales,,
ventas ,T160273,ARQ123,Ejecutar cuadre contable del producto,Reportar desempeÃ±o y aprendizajes de ventas digitales,,
ventas ,T160273,ARQ123,Ejecutar cuadre contable del producto,Administrar la operaciÃ³n de experiencias de ventas digitales,,
ventas ,T160273,ARQ123,Ejecutar cuadre contable del producto,Evolucionar experiencias de ventas digitales,,
ventas ,T160273,ARQ123,Ejecutar cuadre contable del producto,Configurar material de ventas,,
generar indicadores de venta responsable ,T160275,ARQ005,Aplicar novedad,Generar indicadores,,
gestionar alertas ,T160275,ARQ123,Ejecutar cuadre contable del producto,Gestionar alertas,,
solicitar ajuste ,T160275,ARQ005,Aplicar novedad,Solicitar ajustes a cobros realizados,,Solicitar el pago de proveedores y aliados
generar alerta ,T160275,ARQ123,Ejecutar cuadre contable del producto,Generar alerta documental,,Procesar documento
generar alerta ,T160275,ARQ123,Ejecutar cuadre contable del producto,Generar alertas de eventos o inconsistencias,,
recibir respuesta ,T160275,ARQ123,Ejecutar cuadre contable del producto,Recibir respuesta del limite,,
realizar seguimiento ,T160275,ARQ005,Aplicar novedad,Realizar seguimiento a planes de acciÃ³n,,
realizar seguimiento ,T160275,ARQ005,Aplicar novedad,Realizar seguimiento al desempeÃ±o por etapa del ciclo de vida,,
realizar seguimiento ,T160275,ARQ005,Aplicar novedad,Realizar seguimiento a planes de acciÃ³n.,,
monitorear experiencia del cliente [act366] ,T160275,ARQ123,Ejecutar cuadre contable del producto,Monitorear experiencia,,Atender solicitudes de usuarios
monitorear experiencia del cliente [act366] ,T160275,ARQ123,Ejecutar cuadre contable del producto,Monitorear experiencia,,Atender solicitudes de usuario
identificar oportunidades de mejora ,T160275,ARQ005,Aplicar novedad,Identificar oportunidades de mejora del proceso de contenidos,,
generar alertas ,T160275,ARQ123,Ejecutar cuadre contable del producto,Generar alertas de eventos o inconsistencias,,
generar alerta ,T160275,ARQ005,Aplicar novedad,Generar alerta documental,,Procesar documento
generar alerta ,T160275,ARQ005,Aplicar novedad,Generar alertas de eventos o inconsistencias,,
recibir solicitud de licencias ,T160275,ARQ123,Ejecutar cuadre contable del producto,Recibir solicitud,,
realizar seguimiento ,T160275,ARQ123,Ejecutar cuadre contable del producto,Realizar seguimiento a planes de acciÃ³n,,
realizar seguimiento ,T160275,ARQ123,Ejecutar cuadre contable del producto,Realizar seguimiento al desempeÃ±o por etapa del ciclo de vida,,
realizar seguimiento ,T160275,ARQ123,Ejecutar cuadre contable del producto,Realizar seguimiento a planes de acciÃ³n.,,
ejecutar control ,T160288,ARQ123,Ejecutar cuadre contable del producto,Ejecutar controles,,
ejecutar control ,T160288,ARQ123,Ejecutar cuadre contable del producto,Ejecutar control de calidad (QA) previo a publicaciÃ³n,,
notificar al cliente ,T160355,ARQ005,Aplicar novedad,Notificar al clientes activaciÃ³n del producto,,
reportar diferencias ,T160355,ARQ005,Aplicar novedad,Reportar diferencias contables vs operativas,,
recibir solicitud ,T160355,ARQ123,Ejecutar cuadre contable del producto,Recibir solicitud,,
recibir solicitud de actualización ,T160420,ARQ005,Aplicar novedad,Recibir solicitud,,
recibir solicitud de aclaración de los valores facturados ,T160458,ARQ123,Ejecutar cuadre contable del producto,Recibir solicitud,,
cerrar solicitudes ,T160493,ARQ005,Aplicar novedad,Cerrar solicitudes de cumplimiento,,
ejecutar controles operativos ,T160493,ARQ005,Aplicar novedad,Ejecutar controles,,
cerrar solicitudes ,T160493,ARQ002,Abrir producto,Cerrar solicitudes de cumplimiento,,
ejecutar controles operativos ,T160493,ARQ002,Abrir producto,Ejecutar controles,,
generar reporte ,T160609,ARQ005,Aplicar novedad,Generar reportes de auditorÃ­as realizadas,,
cerrar casos ,T160609,ARQ002,Abrir producto,Cerrar caso.,,
validar resultado ,T160609,ARQ005,Aplicar novedad,Validar resultados tÃ©cnicos,,
validar resultado ,T160609,ARQ002,Abrir producto,Validar resultados tÃ©cnicos,,
generar informe ,T160609,ARQ005,Aplicar novedad,Generar informes de monitoreo,,
certificar cuentas contables [act364] ,T160615,ARQ005,Aplicar novedad,Certificar cuenta,,Ejecutar el cuadre contable del producto
c005: certificar cuentas contables [act364] ,T160615,ARQ005,Aplicar novedad,Certificar cuenta,,Ejecutar el cuadre contable del producto
recibir solicitud del cliente ,T160621,ARQ093,Estudiar y constituir garantía,Recibir solicitud,,
atender solicitud ,T160621,ARQ093,Estudiar y constituir garantía,Atender solicitudes de entes externos.,,
atender solicitud ,T160621,ARQ093,Estudiar y constituir garantía,Atender solicitudes de desembolso,,
atender solicitud ,T160621,ARQ093,Estudiar y constituir garantía,Atender solicitudes AQR's ,,
atender solicitud ,T160621,ARQ093,Estudiar y constituir garantía,Atender solicitudes del usuario,,
notificar al cliente ,T160621,ARQ093,Estudiar y constituir garantía,Notificar al clientes activaciÃ³n del producto,,
recibir solicitud de mantenimiento por parte del cliente ,T160621,ARQ093,Estudiar y constituir garantía,Recibir solicitud,,
recibir solicitud ,T160621,ARQ093,Estudiar y constituir garantía,Recibir solicitud,,
cerrar solicitud ,T160621,ARQ093,Estudiar y constituir garantía,Cerrar solicitudes de cumplimiento,,
cerrar solicitud ,T160621,ARQ093,Estudiar y constituir garantía,Cerrar solicitud novedad,,
recibir solicitud por parte del cliente ,T160621,ARQ093,Estudiar y constituir garantía,Recibir solicitud,,
gestionar novedades ,T160642,ARQ093,Estudiar y constituir garantía,Gestionar novedades para campos protegidos,,
gestionar novedades ,T160642,ARQ039,Ejecutar el desembolso,Gestionar novedades para campos protegidos,,
recibir solicitud de ajuste al pago ,T160642,ARQ039,Ejecutar el desembolso,Recibir solicitud,,
crear caso ,T160642,ARQ039,Ejecutar el desembolso,Crear Caso de investigaciÃ³n.,,
1\. identificar tipo de novedad ,T160642,ARQ039,Ejecutar el desembolso,Identificar tipo de novedad,,Aplicar novedad
1\. identificar tipo de novedad ,T160642,ARQ039,Ejecutar el desembolso,Identificar tipo de novedad,,Aplicar novedades
notificar al cliente ,T160642,ARQ039,Ejecutar el desembolso,Notificar al clientes activaciÃ³n del producto,,
recibir solicitud ,T160642,ARQ039,Ejecutar el desembolso,Recibir solicitud,,
generar asiento contable ,T160642,ARQ039,Ejecutar el desembolso,Generar asiento contable,,Ejecutar el cuadre contable del producto
contingencia ,T160642,ARQ039,Ejecutar el desembolso,Gestionar contingencias de ejecuciÃ³n,,
contingencia ,T160642,ARQ039,Ejecutar el desembolso,Gestionar contingencias en experiencias de venta digital,,
contingencia ,T160642,ARQ039,Ejecutar el desembolso,Atender contingencias operativas,,
recibir solicitud de ajuste al pago ,T160642,ARQ013,Ejecutar transacción monetaria,Recibir solicitud,,
crear caso ,T160642,ARQ013,Ejecutar transacción monetaria,Crear Caso de investigaciÃ³n.,,
1\. identificar tipo de novedad ,T160642,ARQ003,Cobrar condiciones financieras del producto,Identificar tipo de novedad,,Aplicar novedad
1\. identificar tipo de novedad ,T160642,ARQ003,Cobrar condiciones financieras del producto,Identificar tipo de novedad,,Aplicar novedades
notificar al cliente ,T160642,ARQ003,Cobrar condiciones financieras del producto,Notificar al clientes activaciÃ³n del producto,,
recibir solicitud ,T160642,ARQ003,Cobrar condiciones financieras del producto,Recibir solicitud,,
generar asiento contable ,T160642,ARQ003,Cobrar condiciones financieras del producto,Generar asiento contable,,Ejecutar el cuadre contable del producto
contingencia ,T160642,ARQ003,Cobrar condiciones financieras del producto,Gestionar contingencias de ejecuciÃ³n,,
contingencia ,T160642,ARQ003,Cobrar condiciones financieras del producto,Gestionar contingencias en experiencias de venta digital,,
contingencia ,T160642,ARQ003,Cobrar condiciones financieras del producto,Atender contingencias operativas,,
gestionar alertas alcon ,T160647,ARQ002,Abrir producto,Gestionar alertas,,
certificar cuentas contables [act364] ,T160647,ARQ120,Asegurar disponibilidad de productos financieros fisicos,Certificar cuenta,,Ejecutar el cuadre contable del producto
certificar cuentas a cargo en alcon ,T160647,ARQ002,Abrir producto,Certificar cuenta,,Ejecutar el cuadre contable del producto
generar informe ,T160657,ARQ002,Abrir producto,Generar informes de monitoreo,,
generar informes ,T160657,ARQ120,Asegurar disponibilidad de productos financieros fisicos,Generar informes de monitoreo,,
generar informe ,T160657,ARQ120,Asegurar disponibilidad de productos financieros fisicos,Generar informes de monitoreo,,
generar informes ,T160657,ARQ002,Abrir producto,Generar informes de monitoreo,,
extraer datos ,T160667,ARQ002,Abrir producto,Extraer datos e informaciÃ³n,,
gestionar novedades ,T160667,ARQ120,Asegurar disponibilidad de productos financieros fisicos,Gestionar novedades para campos protegidos,,
procesar datos ,T160667,ARQ002,Abrir producto,Procesar dato,,Generar informaciÃ³n
extraer datos ,T160667,ARQ120,Asegurar disponibilidad de productos financieros fisicos,Extraer datos e informaciÃ³n,,
gestionar novedades ,T160667,ARQ002,Abrir producto,Gestionar novedades para campos protegidos,,
procesar datos ,T160667,ARQ120,Asegurar disponibilidad de productos financieros fisicos,Procesar dato,,Generar informaciÃ³n
recibir solicitud de parámetro ,T160668,ARQ005,Aplicar novedad,Recibir solicitud,,
guardar ,T160668,ARQ005,Aplicar novedad,Guardar el resultado de la simulaciÃ³n,,Abrir producto
guardar ,T160668,ARQ005,Aplicar novedad,Guardar el resultado de la simulaciÃ³n,,Aplicar novedad
recibir solicitud o novedad ,T160668,ARQ002,Abrir producto,Recibir solicitud,,
gestionar novedad ,T160668,ARQ002,Abrir producto,Gestionar novedades para campos protegidos,,
solicitar ajuste ,T160668,ARQ002,Abrir producto,Solicitar ajustes a cobros realizados,,Solicitar el pago de proveedores y aliados
cerrar caso ,T160668,ARQ002,Abrir producto,Cerrar caso.,,
atender requerimientos ,T160668,ARQ002,Abrir producto,Atender requerimientos de auditorÃ­a,,
atender novedad ,T160668,ARQ002,Abrir producto,Atender novedades por cambios de tarifas,,
atender novedad ,T160668,ARQ002,Abrir producto,Atender novedades operativas,,
solicitar ajustes ,T160668,ARQ002,Abrir producto,Solicitar ajustes a cobros realizados,,Solicitar el pago de proveedores y aliados
atender requerimiento ,T160668,ARQ002,Abrir producto,Atender requerimientos de auditorÃ­a,,
notificar al cliente ,T160668,ARQ002,Abrir producto,Notificar al clientes activaciÃ³n del producto,,
aplicar cambio ,T160668,ARQ002,Abrir producto,Aplicar cambios solicitados,,
recibir solicitud servicio ,T160668,ARQ002,Abrir producto,Recibir solicitud,,
elaborar informe o reporte [cmp86] ,T160668,ARQ002,Abrir producto,Elaborar informe o reporte,,Generar informaciÃ³n
recibir solicitud de parámetro ,T160668,ARQ002,Abrir producto,Recibir solicitud,,
guardar ,T160668,ARQ002,Abrir producto,Guardar el resultado de la simulaciÃ³n,,Abrir producto
guardar ,T160668,ARQ002,Abrir producto,Guardar el resultado de la simulaciÃ³n,,Aplicar novedad
atender requerimientos ,T160668,ARQ013,Ejecutar transacción monetaria,Atender requerimientos de auditorÃ­a,,
atender novedad ,T160668,ARQ013,Ejecutar transacción monetaria,Atender novedades por cambios de tarifas,,
atender novedad ,T160668,ARQ013,Ejecutar transacción monetaria,Atender novedades operativas,,
solicitar ajustes ,T160668,ARQ013,Ejecutar transacción monetaria,Solicitar ajustes a cobros realizados,,Solicitar el pago de proveedores y aliados
atender requerimiento ,T160668,ARQ013,Ejecutar transacción monetaria,Atender requerimientos de auditorÃ­a,,
notificar al cliente ,T160668,ARQ013,Ejecutar transacción monetaria,Notificar al clientes activaciÃ³n del producto,,
aplicar cambio ,T160668,ARQ013,Ejecutar transacción monetaria,Aplicar cambios solicitados,,
recibir solicitud servicio ,T160668,ARQ013,Ejecutar transacción monetaria,Recibir solicitud,,
elaborar informe o reporte [cmp86] ,T160668,ARQ013,Ejecutar transacción monetaria,Elaborar informe o reporte,,Generar informaciÃ³n
recibir solicitud o novedad ,T160668,ARQ005,Aplicar novedad,Recibir solicitud,,
gestionar novedad ,T160668,ARQ005,Aplicar novedad,Gestionar novedades para campos protegidos,,
solicitar ajuste ,T160668,ARQ005,Aplicar novedad,Solicitar ajustes a cobros realizados,,Solicitar el pago de proveedores y aliados
cerrar caso ,T160668,ARQ005,Aplicar novedad,Cerrar caso.,,
atender requerimientos ,T160668,ARQ005,Aplicar novedad,Atender requerimientos de auditorÃ­a,,
atender novedad ,T160668,ARQ005,Aplicar novedad,Atender novedades por cambios de tarifas,,
atender novedad ,T160668,ARQ005,Aplicar novedad,Atender novedades operativas,,
aplicar cambio ,T160668,ARQ120,Asegurar disponibilidad de productos financieros fisicos,Aplicar cambios solicitados,,
elaborar informe o reporte [cmp86] ,T160668,ARQ120,Asegurar disponibilidad de productos financieros fisicos,Elaborar informe o reporte,,Generar informaciÃ³n
custodiar documentos físicos ,T160669,ARQ120,Asegurar disponibilidad de productos financieros fisicos,Custodiar documento,,Procesar documento
custodiar documentos físicos ,T160669,ARQ002,Abrir producto,Custodiar documento,,Procesar documento
entregar producto [act151] ,T160669,ARQ002,Abrir producto,Entregar producto,,Aplicar novedad
realizar firma [cmt78] ,T160669,ARQ002,Abrir producto,Realizar firma,,Abrir producto
generar documento [cmf04] ,T160669,ARQ002,Abrir producto,Generar documento,,Abrir producto
generar documento [cmf04] ,T160669,ARQ002,Abrir producto,Generar documento,,Aplicar novedad
custodiar documentos en la nube ,T160669,ARQ002,Abrir producto,Custodiar documento,,Procesar documento
custodiar documentos ,T160669,ARQ120,Asegurar disponibilidad de productos financieros fisicos,Custodiar documento,,Procesar documento
realizar firma [cmt78] ,T160669,ARQ022,Generar información,Realizar firma,,Abrir producto
generar documento [cmf04] ,T160669,ARQ022,Generar información,Generar documento,,Abrir producto
generar documento [cmf04] ,T160669,ARQ022,Generar información,Generar documento,,Aplicar novedad
custodiar documentos en la nube ,T160669,ARQ022,Generar información,Custodiar documento,,Procesar documento
custodiar documentos ,T160669,ARQ022,Generar información,Custodiar documento,,Procesar documento
custodiar documentos físicos ,T160669,ARQ022,Generar información,Custodiar documento,,Procesar documento
entregar producto [act151] ,T160669,ARQ022,Generar información,Entregar producto,,Aplicar novedad
generar documento [cmf04] ,T160669,ARQ123,Ejecutar cuadre contable del producto,Generar documento,,Abrir producto
generar documento [cmf04] ,T160669,ARQ123,Ejecutar cuadre contable del producto,Generar documento,,Aplicar novedad
custodiar documentos en la nube ,T160669,ARQ123,Ejecutar cuadre contable del producto,Custodiar documento,,Procesar documento
custodiar documentos ,T160669,ARQ123,Ejecutar cuadre contable del producto,Custodiar documento,,Procesar documento
recibir solicitud de rebaja ,PAN040305,ARQ013,Ejecutar transacción monetaria,Recibir solicitud,,
recibir solicitud de rebaja ,PAN040305,ARQ002,Abrir producto,Recibir solicitud,,
recibir solicitud ,PAN040314,ARQ002,Abrir producto,Recibir solicitud,,
recibir solicitud ,PAN040314,ARQ013,Ejecutar transacción monetaria,Recibir solicitud,,
c004:gestionar alertas de derechos de petición ,T050301,ARQ013,Ejecutar transacción monetaria,Gestionar alertas,,
notificar al cliente ,T051924,ARQ123,Ejecutar cuadre contable del producto,Notificar al clientes activaciÃ³n del producto,,
realizar seguimiento ,T051924,ARQ123,Ejecutar cuadre contable del producto,Realizar seguimiento a planes de acciÃ³n,,
realizar seguimiento ,T051924,ARQ123,Ejecutar cuadre contable del producto,Realizar seguimiento al desempeÃ±o por etapa del ciclo de vida,,
realizar seguimiento ,T051924,ARQ123,Ejecutar cuadre contable del producto,Realizar seguimiento a planes de acciÃ³n.,,
habilitar pago ,T051924,ARQ123,Ejecutar cuadre contable del producto,Habilitar pago de obligaciones,,
entregar producto [act151] ,T051924,ARQ123,Ejecutar cuadre contable del producto,Entregar producto,,Aplicar novedad
generar reportes ,T070203,ARQ123,Ejecutar cuadre contable del producto,Generar reportes de auditorÃ­as realizadas,,
monitorear experiencias ,T070203,ARQ123,Ejecutar cuadre contable del producto,"Monitorear experiencias, ofertas y alianzas",,
monitorear experiencias ,T070203,ARQ123,Ejecutar cuadre contable del producto,Monitorear experiencia,,Atender solicitudes de usuarios
monitorear experiencias ,T070203,ARQ123,Ejecutar cuadre contable del producto,Monitorear experiencia,,Atender solicitudes de usuario
aplicar novedad ,T070203,ARQ123,Ejecutar cuadre contable del producto,Aplicar novedad no financiera,,Aplicar novedad
aplicar novedad ,T070203,ARQ123,Ejecutar cuadre contable del producto,Aplicar novedad financiera,,Aplicar novedad
gestionar novedades ,T070203,ARQ022,Generar información,Gestionar novedades para campos protegidos,,
generar reportes ,T070203,ARQ022,Generar información,Generar reportes de auditorÃ­as realizadas,,
monitorear experiencias ,T070203,ARQ022,Generar información,"Monitorear experiencias, ofertas y alianzas",,
monitorear experiencias ,T070203,ARQ022,Generar información,Monitorear experiencia,,Atender solicitudes de usuarios
monitorear experiencias ,T070203,ARQ022,Generar información,Monitorear experiencia,,Atender solicitudes de usuario
aplicar novedad ,T070203,ARQ022,Generar información,Aplicar novedad no financiera,,Aplicar novedad
aplicar novedad ,T070203,ARQ022,Generar información,Aplicar novedad financiera,,Aplicar novedad
solicitar ajuste ,T081001,ARQ002,Abrir producto,Solicitar ajustes a cobros realizados,,Solicitar el pago de proveedores y aliados
gestionar alerta ,T081001,ARQ002,Abrir producto,Gestionar alertas,,
generar documentos de pago ,T081001,ARQ002,Abrir producto,Generar documento,,Abrir producto
generar documentos de pago ,T081001,ARQ002,Abrir producto,Generar documento,,Aplicar novedad
informar resultado ,T081001,ARQ002,Abrir producto,Emitir e informar resultado,,
notificar inconsistencia ,T081001,ARQ002,Abrir producto,Notificar inconsistencias,,
generar alerta ,T081001,ARQ002,Abrir producto,Generar alerta documental,,Procesar documento
generar alerta ,T081001,ARQ002,Abrir producto,Generar alertas de eventos o inconsistencias,,
escalar novedad ,T081001,ARQ002,Abrir producto,Escalar novedades,,
conciliar transacciones ,T081001,ARQ002,Abrir producto,Conciliar transacciones y registros operativos,,
atender requerimientos ,T081001,ARQ002,Abrir producto,Atender requerimientos de auditorÃ­a,,
escalar novedad ,T081001,ARQ005,Aplicar novedad,Escalar novedades,,
generar alerta ,T081001,ARQ005,Aplicar novedad,Generar alerta documental,,Procesar documento
generar alerta ,T081001,ARQ005,Aplicar novedad,Generar alertas de eventos o inconsistencias,,
notificar inconsistencia ,T081001,ARQ027,Atender solicitudes de usuario,Notificar inconsistencias,,
conciliar transacciones ,T081001,ARQ027,Atender solicitudes de usuario,Conciliar transacciones y registros operativos,,
atender requerimientos ,T081001,ARQ027,Atender solicitudes de usuario,Atender requerimientos de auditorÃ­a,,
solicitar ajuste ,T081001,ARQ005,Aplicar novedad,Solicitar ajustes a cobros realizados,,Solicitar el pago de proveedores y aliados
gestionar alerta ,T081001,ARQ005,Aplicar novedad,Gestionar alertas,,
informar resultado ,T081001,ARQ005,Aplicar novedad,Emitir e informar resultado,,
notificar inconsistencia ,T081001,ARQ005,Aplicar novedad,Notificar inconsistencias,,
escalar novedad ,T081001,ARQ027,Atender solicitudes de usuario,Escalar novedades,,
generar alerta ,T081001,ARQ027,Atender solicitudes de usuario,Generar alerta documental,,Procesar documento
generar alerta ,T081001,ARQ027,Atender solicitudes de usuario,Generar alertas de eventos o inconsistencias,,
informar resultado ,T081001,ARQ114,Realizar Vinculación,Emitir e informar resultado,,
generar alerta ,T081001,ARQ114,Realizar Vinculación,Generar alerta documental,,Procesar documento
generar alerta ,T081001,ARQ114,Realizar Vinculación,Generar alertas de eventos o inconsistencias,,
escalar novedad ,T081001,ARQ114,Realizar Vinculación,Escalar novedades,,
