Código,Nombre de la Actividad,Descripción Funcional,Prioridad de Reúso,Tipo de Elemento,Sinónimos (Variantes),Dominio de Arquitectura,Arquetipos en  donde aplica,Hipervinculo,Diseño para la Automatización
CP0184,Habilitar visualización en herramientas comerciales,Permitir que la información del cliente se vea en sistemas de negocio.,2,Capacidad de Procesos,"Activar visualización en herramientas comerciales, Configurar visualización en plataformas comerciales, Disponer visualización en herramientas comerciales",Clientes,Sin Arquetipo asociado,,Diseño Pendiente
CP0185,Habilitar consumo de información de clientes para interesados,Facilitar el acceso a datos del cliente para áreas autorizadas.,2,Capacidad de Procesos,"Activar consumo de información de clientes para interesados, Disponibilizar datos de clientes para interesados, Permitir acceso a información de clientes para interesados",Clientes,Sin Arquetipo asociado,,Diseño Pendiente
CP0186,Definir atributos a enriquecer,Determinar qué datos adicionales se deben incorporar al perfil del cliente.,2,Capacidad de Procesos,"Establecer atributos a enriquecer, Identificar campos a enriquecer, Determinar atributos candidatos para enriquecimiento",Clientes,Sin Arquetipo asociado,,Diseño Pendiente
CP0187,Identificar fuentes de enriquecimiento,Localizar sistemas o proveedores que aporten información complementaria.,2,Capacidad de Procesos,"Detectar fuentes de enriquecimiento, Reconocer orígenes de enriquecimiento, Localizar fuentes de datos complementarios",Clientes,Sin Arquetipo asociado,,Diseño Pendiente
CP0188,Realizar integración con fuentes de enriquecimiento,Conectar y combinar datos externos con la información del cliente.,2,Capacidad de Procesos,"Ejecutar integración con fuentes de enriquecimiento, Conectar fuentes de enriquecimiento, Articular integración con fuentes de datos complementarios",Clientes,Sin Arquetipo asociado,,Diseño Pendiente
CP0189,Enriquecer información del cliente,Agregar datos adicionales para mejorar la visión del cliente.,2,Capacidad de Procesos,"Complementar información del cliente, Ampliar datos del cliente, Fortalecer perfil informativo del cliente",Clientes,Sin Arquetipo asociado,,Diseño Pendiente
CP0190,Definir causales de debida diligencia,Establecer motivos o criterios para aplicar procesos de verificación.,2,Capacidad de Procesos,"Establecer causales de debida diligencia, Determinar motivos de debida diligencia, Configurar causales de activación de debida diligencia",Clientes,Sin Arquetipo asociado,,Diseño Pendiente
CP0191,Gestionar alertas,Administrar notificaciones sobre riesgos o eventos relevantes del cliente.,2,Capacidad de Procesos,"Atender alertas, Procesar alertas, Tramitar alertas recibidas",Clientes,Sin Arquetipo asociado,,Diseño Pendiente
CP0192,Activar gestiones de debida diligencia,Iniciar procesos de verificación y control según normativa.,2,Capacidad de Procesos,"Iniciar procesos de debida diligencia, Habilitar acciones de debida diligencia, Detonar gestiones de debida diligencia",Clientes,Sin Arquetipo asociado,,Diseño Pendiente
CP0193,Validar información y soportes,Comprobar la autenticidad de documentos y datos del cliente.,2,Capacidad de Procesos,"Verificar información y soportes, Comprobar información y documentos de soporte, Confirmar integridad de información y soportes",Clientes,Sin Arquetipo asociado,,Diseño Pendiente
CP0194,Generar resultado de debida diligencia,Emitir conclusiones sobre la revisión realizada al cliente.,2,Capacidad de Procesos,"Producir resultado de debida diligencia, Crear dictamen de debida diligencia, Emitir resultado de debida diligencia",Clientes,Sin Arquetipo asociado,,Diseño Pendiente
CP0195,Aplicar medidas restrictivas,Implementar acciones preventivas ante riesgos detectados.,2,Capacidad de Procesos,"Ejecutar medidas restrictivas, Implementar restricciones, Activar medidas de bloqueo o restricción",Clientes,Sin Arquetipo asociado,,Diseño Pendiente
CP0196,Generar trazabilidad de debida diligencia,Registrar y seguir el proceso de revisión y control del cliente.,2,Capacidad de Procesos,"Crear trazabilidad de debida diligencia, Producir registro de trazabilidad de debida diligencia, Registrar trazabilidad del proceso de debida diligencia",Clientes,Sin Arquetipo asociado,,Diseño Pendiente
CP0284,Definir catálogo de cuentas,Establecer el catálogo de cuentas requerido.,2,Capacidad de Procesos,Definir catálogo de cuentas,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0285,Establecer periodicidad de conciliaciones contables,Determinar la frecuencia de conciliaciones colntables.,2,Capacidad de Procesos,Establecer periodicidad de conciliaciones contables,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0286,Definir criterios de control contable,Fijar lineamientos de los controles de la información contable dentro del proceso.,2,Capacidad de Procesos,Definir criterios de control contable,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0287,Obtener información financiera para conciliación,Recolectar la información financiera necesaria para los procesos de conciliación.,2,Capacidad de Procesos,Obtener información financiera para conciliación,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0288,Recibir información contable,Asegurar la recepción de los insumos contables.,2,Capacidad de Procesos,Recibir información contable,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0289,Validar información contable,Comprobar la información contable.,2,Capacidad de Procesos,Validar información contable,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0290,Normalizar formatos contables,Estandarizar formatos de origen de información contable y operativa.,2,Capacidad de Procesos,Normalizar formatos contables,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0291,Verificar integridad de archivos,Verificar que los archivos utilizados sean consistententes.,2,Capacidad de Procesos,Verificar integridad de archivos,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0292,Identificar diferencias contables,Detectar y catalogar discrepancias surgidas del cruce de información.,2,Capacidad de Procesos,Identificar diferencias contables,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0293,Formalizar ajustes contables,"Gestionar ajustes derivados de conciliaciones, documentando sustento técnico y aprobaciones requeridas.",2,Capacidad de Procesos,Formalizar ajustes contables,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0294,Orquestar flujos de aprobación,Coordinar flujos de revisión y aprobación de resultados.,2,Capacidad de Procesos,Orquestar flujos de aprobación,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0295,Aplicar criterios de materialidad,Determinar la relevancia de diferencias definidos por la organización.,2,Capacidad de Procesos,Aplicar criterios de materialidad,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0296,Aprobar excepciones contables,Validar diferencias aceptadas bajo reglas de excepción establecidas.,2,Capacidad de Procesos,Aprobar excepciones contables,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0297,Registrar trazabilidad de aprobaciones,Registrar soportes y bitácoras de cada aprobación.,2,Capacidad de Procesos,Registrar trazabilidad de aprobaciones,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0298,Emitir informe de conciliación,Generar el reporte del proceso de conciliación.,2,Capacidad de Procesos,Emitir informe de conciliación,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0299,Publicar resultados de conciliación,Publicación de forma controlada los informes de conciliación.,2,Capacidad de Procesos,Publicar resultados de conciliación,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0300,Administrar indicadores del proceso de conciliación contable,Gestión de los indicadores del proceso de conciliación contable.,2,Capacidad de Procesos,Administrar indicadores del proceso de conciliación contable,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0301,Administrar la información soporte del proceso,Custodiar documentos y evidencias del proceso.,2,Capacidad de Procesos,Administrar la información soporte del proceso,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0302,Definir criterios de monitoreo contable.,"Establecer parámetros, condiciones para el monitoreo.",2,Capacidad de Procesos,Definir criterios de monitoreo contable.,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0303,Definir catálogos contables para monitoreo,Definir la lista de cuentas del alcance del monitoreo continuo.,2,Capacidad de Procesos,Definir catálogos contables para monitoreo,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0304,Definir modelos de control,Diseñar controles manuales y automáticos,2,Capacidad de Procesos,Definir modelos de control,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0305,Establecer periodicidad de monitoreo,Definir condiciones de ejecución de los controles de monitoreo.,2,Capacidad de Procesos,Establecer periodicidad de monitoreo,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0306,Establecer responsabilidades del monitoreo,Asignar responsabilidades por roles.,2,Capacidad de Procesos,Establecer responsabilidades del monitoreo,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0307,Definir estándares de evidencia del monitoreo contable,Definir estándares de evidencia y documentación para soportar hallazgos del monitoreo.,2,Capacidad de Procesos,Definir estándares de evidencia del monitoreo contable,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0308,Orquestar fuentes de información,Gestionar la integración y disponibilidad de todas las fuentes requeridas.,2,Capacidad de Procesos,Orquestar fuentes de información,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0309,Normalizar datos contables,Alinear los datos a estructuras y reglas comunes.,2,Capacidad de Procesos,Normalizar datos contables,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0310,Ejecutar validaciones del proceso de conciliación contable,Correr validaciones ,2,Capacidad de Procesos,Ejecutar validaciones del proceso de conciliación contable,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0311,Validar saldos contables prioritarios,Evaluar saldos definidos como de alta materialidad o riesgo.,2,Capacidad de Procesos,Validar saldos contables prioritarios,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0312,Validar integridad de datos entre sistemas,Verificar consistencia de datos entre aplicaciones contables.,2,Capacidad de Procesos,Validar integridad de datos entre sistemas,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0313,Monitorear saldos contables,Gestión de saldos del libro contable .,2,Capacidad de Procesos,Monitorear saldos contables,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0314,Monitorear saldos operativos,Gestión de saldos y transacciones en sistemas de negocio.,2,Capacidad de Procesos,Monitorear saldos operativos,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0315,Conciliar cuentas puente,Conciliación de cuentas de paso y transitorias.,2,Capacidad de Procesos,Conciliar cuentas puente,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0316,Identificar saldos con comportamiento atípico.,Detectar y dar tratamiento a saldos con comportamientos atípicos o sin movimiento esperado.,2,Capacidad de Procesos,Identificar saldos con comportamiento atípico.,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0317,Detectar anomalías contables,Identificar resultados fuera de parámetros establecidos.,2,Capacidad de Procesos,Detectar anomalías contables,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0318,Clasificar hallazgos contables,"Categorizar hallazgos por tipo, severidad y prioridad.",2,Capacidad de Procesos,Clasificar hallazgos contables,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0319,Analizar causas de desviaciones,Determinar el origen de las discrepancias.,2,Capacidad de Procesos,Analizar causas de desviaciones,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0320,Definir acciones correctivas contables,Diseñar medidas para resolver desviaciones contables.,2,Capacidad de Procesos,Definir acciones correctivas contables,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0321,Definir acciones preventivas contables,Establecer medidas que permitan de manera preventiva identificar inconsistencias contables.,2,Capacidad de Procesos,Definir acciones preventivas contables,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0322,Coordinar correcciones,Gestionar las acciones correctivas.,2,Capacidad de Procesos,Coordinar correcciones,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0323,Consolidar resultados de monitoreo,Integrar resultado unificado del periodo.,2,Capacidad de Procesos,Consolidar resultados de monitoreo,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0324,Validar resultados técnicos,Revisar consistencia metodológica y exactitud técnica de resultados.,2,Capacidad de Procesos,Validar resultados técnicos,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0325,Analizar resultados del proceso de monitoreo contable,Gestión de resultados del proceso de monitoreo contable.,2,Capacidad de Procesos,Analizar resultados del proceso de monitoreo contable,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0326,Administrar aprobaciones,"Mantener repositorio seguro con evidencias de aprobaciones, devoluciones y rechazos.",2,Capacidad de Procesos,Administrar aprobaciones,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0327,Tramitar indicadores del proceso de monitoreo contable,Gestión de los indicadores del proceso de monitoreo.,2,Capacidad de Procesos,Tramitar indicadores del proceso de monitoreo contable,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0328,Atender requerimientos de auditoría,Atender requerimientos de auditoría interna/externa.,2,Capacidad de Procesos,Atender requerimientos de auditoría,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0329,Generar informes de monitoreo,Producir el reporte formal con resultados de monitoreo.,2,Capacidad de Procesos,Generar informes de monitoreo,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0330,Distribuir resultados del proceso de monitoreo contable,Poner a disposición de las partes interesadas los resultados aprobados.,2,Capacidad de Procesos,Distribuir resultados del proceso de monitoreo contable,Gestión Contable,Sin Arquetipo asociado,,Diseño Pendiente
CP0337,Validar políticas de apertura del producto,"Evaluar que la apertura de un producto cumpla con las políticas internas y externas aplicables, asegurando que el cliente, el producto y las condiciones de la solicitud se ajusten a los requisitos normativos, regulatorios y de negocio definidos por la organización.
Esta capacidad permite evaluar criterios de elegibilidad, como reglas de segmentación del cliente, condiciones comerciales, restricciones operativas y demás parámetros establecidos para cada tipo de producto, antes de autorizar su apertura.",2,Capacidad de Procesos,"Verificar reglas de apertura del producto, Comprobar políticas de habilitación del producto, Evaluar condiciones de apertura del producto, Confirmar requisitos de activación del producto",Negocios,Abrir producto,,Diseño Pendiente
CP0340,Perfilar el cliente,"Analizar y caracterizar al cliente a partir de la información disponible, con el fin de clasificarlo en uno o varios perfiles que representen sus características, necesidades, comportamiento y valor para el negocio.
Esta capacidad permite consolidar y enriquecer datos del cliente provenientes de diferentes fuentes —como información básica, transaccional, relacional, de canales y de productos— para generar un perfil integral y contextualizado.",2,Capacidad de Procesos,"Caracterizar al cliente, Segmentar al cliente, Clasificar al cliente, Evaluar perfil del cliente",Negocios,Abrir producto,,Diseño Pendiente
CP0342,Evaluar reglas de negocio del producto,"Evaluar las reglas de negocio definidas para un producto con el fin de determinar la viabilidad, condiciones y alcance de la oferta a presentar al cliente.
Esta capacidad permite analizar criterios propios del producto, tales como condiciones de elegibilidad, límites, combinaciones permitidas, dependencias con otros productos, restricciones operativas y parámetros comerciales, utilizando la información del cliente y del contexto de la solicitud.",2,Capacidad de Procesos,"Verificar normas comerciales del producto, Validar condiciones de negocio del producto, Analizar reglas operativas del producto, Comprobar políticas de negocio del producto",Negocios,Abrir producto,,Diseño Pendiente
CP0345,Definir el precio del producto,"Determinar el precio aplicable a un producto dentro de una oferta específica, considerando las condiciones comerciales, reglas de pricing y beneficios asociados, de acuerdo con el perfil del cliente y el contexto de la solicitud.
Esta capacidad permite establecer tarifas, tasas, comisiones, descuentos o exenciones que conforman el precio final del producto ofrecido, asegurando coherencia con las estrategias y políticas de precios definidas por la organización.",2,Capacidad de Procesos,"Establecer tarifa del producto, Fijar precio del producto, Determinar costo del producto, Configurar valor del producto",Negocios,Abrir producto,,Diseño Pendiente
CP0348,Calcular variables de simulación,"Calcular las variables financieras y operativas requeridas para ejecutar una simulación, a partir de la información recibida y de los parámetros definidos para el producto y el escenario a evaluar.
Esta capacidad permite derivar y calcular variables clave de la simulación, tales como:
Intereses (tasas, indexaciones, bases de causación y periodicidad),
Amortización (tipo de cuota, distribución capital–interés, cronograma de pagos),
Costos y gastos asociados (seguros, cargos operativos u otros costos aplicables),
Comisiones y tarifas,
Plazos, montos y frecuencias,
Otras variables necesarias para representar el comportamiento económico del producto en el escenario simulado.",2,Capacidad de Procesos,"Computar parámetros de simulación, Determinar variables de proyección, Estimar factores de simulación, Procesar variables de modelamiento",Negocios,Abrir producto,,Diseño Pendiente
CP0349,Generar proyección,"Construir la proyección del comportamiento de un producto o escenario simulado, a partir de las variables previamente calculadas en la simulación.
Esta capacidad permite proyectar en el tiempo los resultados de la simulación, tales como flujos de pago, cronogramas de amortización, intereses, costos, comisiones y saldos, considerando las condiciones definidas para el escenario evaluado.",2,Capacidad de Procesos,"Elaborar estimación, Producir pronóstico, Crear simulación financiera, Construir proyección de escenarios",Negocios,Abrir producto,,Diseño Pendiente
CP0352,Guardar el resultado de la simulación,"Persistir y conservar el resultado de una simulación, con el fin de asegurar su disponibilidad, trazabilidad y reutilización posterior dentro de uno o varios procesos de negocio.
Esta capacidad permite almacenar de forma estructurada la información resultante de la simulación, incluyendo proyecciones, flujos de pago, cronogramas de amortización, intereses, costos, comisiones, supuestos y parámetros utilizados, asociándolos al cliente, producto o contexto correspondiente.",2,Capacidad de Procesos,"Almacenar resultado de la simulación, Registrar salida de la simulación, Persistir resultado de la proyección, Conservar datos de la simulación",Negocios,Abrir producto,,Diseño Pendiente
CP0355,Disponer cobertura,"Definir y habilitar la cobertura para la entrega de productos físicos, estableciendo dónde, cómo y a través de qué medios puede realizarse la entrega, de acuerdo con las definiciones del producto y las condiciones operativas vigentes.
Esta capacidad permite disponer la cobertura logística y operativa del producto físico, considerando parámetros como canales de entrega habilitados, zonas geográficas, puntos de atención o distribución, operadores logísticos, modalidades de entrega (domicilio, oficina, aliado) y restricciones asociadas al tipo de producto.",2,Capacidad de Procesos,"Habilitar cobertura, Activar protección, Asignar cobertura, Configurar cobertura del producto",Negocios,Abrir producto,,Diseño Pendiente
CP0357,Generar producto,"Crear e instanciar un producto dentro de los sistemas del banco, materializando las definiciones funcionales, comerciales y operativas previamente establecidas.
Esta capacidad permite generar el producto a partir de una solicitud u oferta aceptada, creando su identificador único, asociando las condiciones, parámetros, coberturas y configuraciones necesarias y dejando el producto listo para continuar con los procesos de entrega, activación u operación.",2,Capacidad de Procesos,"Crear producto, Constituir producto, Instanciar producto, Activar producto",Negocios,Abrir producto,,Diseño Pendiente
CP0358,Asociar producto al cliente,"Vincular un producto generado con un cliente específico, estableciendo formalmente la relación cliente‑producto dentro de los sistemas del banco.
Esta capacidad permite asociar el producto al cliente, registrando los identificadores, roles y condiciones de la relación, y dejando explícito quién es el titular, beneficiario o responsable del producto, de acuerdo con las definiciones del negocio.",2,Capacidad de Procesos,"Vincular producto al cliente, Asignar producto al cliente, Enlazar producto con el cliente, Relacionar producto al cliente",Negocios,Abrir producto,,Diseño Pendiente
CP0366,Coordinar entrega con el proveedor,"Coordinar la entrega del producto con el proveedor o aliado responsable, asegurando que el proceso logístico y operativo se ejecute conforme a las condiciones definidas y a los acuerdos establecidos.
Esta capacidad permite articular las actividades necesarias entre la organización y el proveedor, tales como la asignación del proveedor, la programación de la entrega, el intercambio de información relevante, el seguimiento del estado y la gestión de incidencias, garantizando que el producto llegue al destino acordado.",2,Capacidad de Procesos,"Gestionar despacho con el proveedor, Programar entrega con el proveedor, Sincronizar envío con el proveedor, Organizar distribución con el proveedor",Negocios,Abrir producto,,Diseño Pendiente
CP0367,Validar entrega del producto,"Verificar y confirmar que la entrega del producto se haya realizado de manera correcta, de acuerdo con las condiciones definidas y lo coordinado con el proveedor o aliado responsable.
Esta capacidad permite validar la recepción efectiva del producto, corroborando aspectos como estado de la entrega, cumplimiento del destino, integridad del producto y aceptación por parte del destinatario, dejando evidencia y trazabilidad del resultado.",2,Capacidad de Procesos,"Verificar recepción del producto, Confirmar entrega del producto, Comprobar despacho del producto, Constatar recibo del producto",Negocios,Abrir producto,,Diseño Pendiente
CP0368,Solicitar destrucción,"Iniciar y gestionar la solicitud de destrucción de un producto que no fue entregado, con el fin de cerrar de manera controlada su ciclo de vida y evitar riesgos operativos, de seguridad o de inventario.
Esta capacidad permite solicitar formalmente la destrucción del producto, validando las causales de no entrega (rechazo, devolución, pérdida, vencimiento u otros), y articulando la gestión con el proveedor, operador logístico o área responsable de la custodia.",2,Capacidad de Procesos,"Requerir destrucción, Gestionar eliminación, Tramitar destrucción, Ordenar destrucción del producto",Negocios,Abrir producto,,Diseño Pendiente
CP0370,Entregar producto en sucursal,"Realizar la entrega del producto al cliente en una sucursal física, garantizando una entrega controlada, segura y conforme a las condiciones definidas.
Esta capacidad permite disponer el producto en la sucursal, verificar la identidad del cliente o autorizado, realizar la entrega física y dejar constancia de la recepción, asegurando el cumplimiento de los lineamientos operativos, de seguridad y de experiencia definidos por la organización.",2,Capacidad de Procesos,"Despachar producto en oficina, Distribuir producto en punto de atención, Suministrar producto en agencia, Proveer producto en sucursal",Negocios,Abrir producto,,Diseño Pendiente
CP0374,Validar información del producto,"Verificar la información del producto a partir de los datos suministrados por el cliente, necesarios para activar el producto o atender una solicitud asociada a su ciclo de vida.
Esta capacidad permite validar que los datos requeridos al cliente —identificación, producto asociado, condiciones solicitadas, parámetros, documentos soporte y consentimientos— sean completos, consistentes, vigentes y confiables, de acuerdo con el tipo de solicitud y las reglas definidas.",2,Capacidad de Procesos,"Verificar datos del producto, Comprobar información del producto, Confirmar atributos del producto, Constatar datos del producto",Negocios,Abrir producto,,Diseño Pendiente
CP0382,Identificar producto y titular,"Reconocer y validar de manera inequívoca el producto y su titular, con el fin de asegurar que las operaciones, solicitudes o transacciones se realicen sobre el producto correcto y por la persona o entidad autorizada.",2,Capacidad de Procesos,"Reconocer producto y titular, Determinar producto y propietario, Localizar producto y titular, Detectar producto y beneficiario",Negocios,Ejecutar transacción monetaria,,Diseño Pendiente
CP0383,Validar condiciones del producto origen,"Verificar que el producto origen cumpla con las condiciones necesarias para soportar una operación, solicitud o cambio, de acuerdo con las reglas del negocio y las políticas vigentes.
Esta capacidad permite validar las condiciones del producto origen, tales como estado, vigencia, cupos, límites, restricciones operativas, condiciones comerciales y reglas contractuales, asegurando que el producto sea apto para continuar el proceso.",2,Capacidad de Procesos,"Verificar condiciones del producto fuente, Comprobar términos del producto origen, Confirmar parámetros del producto origen, Evaluar estado del producto origen",Negocios,Ejecutar transacción monetaria,,Diseño Pendiente
CP0385,Validar topes,"Verificar que una operación, solicitud o transacción se encuentre dentro de los topes definidos para el producto, de acuerdo con las condiciones y reglas vigentes.
Esta capacidad permite validar los topes aplicables —como montos máximos y mínimos, cupos disponibles, frecuencias, acumulados diarios o mensuales y restricciones por canal— contrastando la solicitud con los límites operativos y comerciales configurados para el producto y el titular.",2,Capacidad de Procesos,"Verificar límites, Comprobar topes operativos, Confirmar umbrales permitidos, Evaluar cupos máximos",Negocios,Ejecutar transacción monetaria,,Diseño Pendiente
CP0387,Identificar posibilidad de fraude,"Detectar indicios de fraude durante el proceso de autorización de una transacción, con el fin de prevenir operaciones no legítimas y proteger al cliente y a la organización.
Esta capacidad permite identificar la posibilidad de fraude analizando la transacción en tiempo real, a partir de reglas, modelos analíticos y señales de comportamiento, tales como patrones transaccionales, contexto del canal, dispositivo, ubicación, historial del producto y del titular, y alertas de seguridad vigentes.",2,Capacidad de Procesos,"Detectar indicios de fraude, Reconocer señales de fraude, Evaluar riesgo de fraude, Alertar sobre posible fraude",Negocios,Ejecutar transacción monetaria,,Diseño Pendiente
CP0388,Verificar autenticidad de la transacción,"Confirmar que una transacción es legítima y corresponde a una intención válida del titular o usuario autorizado, antes de ser aprobada.
Esta capacidad permite verificar la autenticidad de la transacción validando elementos como la identidad del cliente, credenciales, mecanismos de autenticación, contexto del canal, datos del producto y consistencia de la solicitud, de acuerdo con las políticas de seguridad y niveles de riesgo definidos.",2,Capacidad de Procesos,"Validar legitimidad de la transacción, Confirmar autenticidad de la operación, Comprobar veracidad de la transacción, Constatar integridad de la transacción",Negocios,Ejecutar transacción monetaria,,Diseño Pendiente
CP0389,Aplicar reglas de dispersión,Aplicar criterios para distribuir montos o transacciones según reglas definidas.,2,Capacidad de Procesos,"Ejecutar reglas de distribución, Implementar criterios de dispersión, Procesar reglas de asignación de fondos, Activar políticas de dispersión",Negocios,Ejecutar transacción monetaria,,Diseño Pendiente
CP0390,Calcular valor a cobrar,"Determinar el valor total a cobrar asociado a una transacción, garantizando la correcta aplicación de las condiciones económicas definidas para el producto y el canal.
Esta capacidad permite calcular el valor a cobrar a partir del monto base de la transacción, incorporando de forma consistente tarifas, comisiones, impuestos, costos operativos, descuentos o beneficios aplicables, según el tipo de operación, el producto, el titular y el canal utilizado.",2,Capacidad de Procesos,"Determinar monto a cobrar, Computar importe a cobrar, Estimar valor del cobro, Liquidar valor a recaudar",Negocios,Ejecutar transacción monetaria,,Diseño Pendiente
CP0391,Exponer valor a cobrar,"Poner a disposición el valor a cobrar asociado a una transacción, asegurando su claridad, consistencia y disponibilidad para los actores, canales o sistemas que intervienen en el proceso.",2,Capacidad de Procesos,"Presentar valor a cobrar, Mostrar monto a cobrar, Informar importe a cobrar, Notificar valor del cobro",Negocios,Ejecutar transacción monetaria,,Diseño Pendiente
CP0392,Generar instrucción de la transacción,"Construir y estandarizar la instrucción que describe una transacción, con el fin de que pueda ser procesada, enrutada y ejecutada por los productos, rieles o redes correspondientes.
Esta capacidad permite generar la instrucción de la transacción consolidando la información mínima requerida (por ejemplo: cuentas origen y destino, monto, comisiones, topes e impuestos) y asignando un identificador para su trazabilidad, de manera que la transacción pueda ser tratada individualmente o en lote (batch).",2,Capacidad de Procesos,"Crear orden de la transacción, Producir instrucción de pago, Elaborar directriz de la operación, Emitir instrucción transaccional",Negocios,Ejecutar transacción monetaria,,Diseño Pendiente
CP0394,Enrutar transacción,"Dirigir una transacción hacia el riel, red, producto o cámara de compensación correspondiente, de acuerdo con sus características y las reglas definidas.
Esta capacidad permite enrutar la transacción a partir de la instrucción generada, utilizando reglas y algoritmos de enrutamiento en tiempo real que consideran variables como tipo de transacción, producto, canal, disponibilidad de rieles, costos, liquidez y criterios de eficiencia operativa, con el fin de optimizar el procesamiento",2,Capacidad de Procesos,"Direccionar transacción, Canalizar operación, Redirigir transacción, Encaminar transacción al destino",Negocios,Ejecutar transacción monetaria,,Diseño Pendiente
CP0395,Solicitar autorización al producto de destino,"Solicitar la autorización transmitiendo la instrucción de la transacción —ya validada y enruta— al producto de destino, para que éste evalúe criterios como estado del producto, cupos, reglas operativas, condiciones comerciales y controles de riesgo, y emita una respuesta formal de autorización.",2,Capacidad de Procesos,"Requerir aprobación del producto destino, Gestionar autorización del producto receptor, Pedir validación al producto de destino, Tramitar autorización del producto receptor",Negocios,Ejecutar transacción monetaria,,Diseño Pendiente
CP0396,Aplicar movimiento monetario,"Aplicar el movimiento monetario (debitar, acreditar o ambos) de acuerdo con la instrucción de la transacción y la autorización recibida, actualizando los saldos disponibles, contables y operativos del producto, y registrando el movimiento con su respectiva trazabilidad.",2,Capacidad de Procesos,"Ejecutar movimiento de fondos, Registrar movimiento financiero, Procesar operación monetaria, Efectuar transacción monetaria",Negocios,Ejecutar transacción monetaria,,Diseño Pendiente
CP0399,Realizar reintento de transacción,"Realizar el reintento de la transacción reutilizando la instrucción original y aplicando las reglas definidas para reintentos, considerando causales como rechazos técnicos, indisponibilidad temporal de rieles o redes, errores operativos o validaciones no concluyentes, y respetando los criterios de control establecidos.",2,Capacidad de Procesos,"Ejecutar reintento de operación, Reintentar procesamiento de la transacción, Reprocesar transacción fallida, Relanzar transacción",Negocios,Ejecutar transacción monetaria,,Diseño Pendiente
CP0401,Conciliar transacción,Comparar y verificar una transacción entre diferentes fuentes para confirmar su correspondencia.,2,Capacidad de Procesos,"Cuadrar transacción, Reconciliar operación, Cotejar transacción, Verificar correspondencia de la transacción",Negocios,Ejecutar transacción monetaria,,Diseño Pendiente
