Código,Paquete (Nivel 1),Subpaquete (Nivel 2),Capacidad de Procesos (Nivel 3),Descripción,Categoría,Dueño de la Capacidad,Dominio,Subdominio Nivel 1,Subdominio Nivel 2,Propia / Heredada,Reusable,Componentes Relacionados,Arquetipos Relacionado,% Nivel de Calidad,Criterios a Revisar,Retroalimentación,Estado,,
CP0374,Gestión de la apertura,Activar producto,Validar información del producto,"Verificar la información del producto a partir de los datos suministrados por el cliente, necesarios para activar el producto o atender una solicitud asociada a su ciclo de vida.
Esta capacidad permite validar que los datos requeridos al cliente —identificación, producto asociado, condiciones solicitadas, parámetros, documentos soporte y consentimientos— sean completos, consistentes, vigentes y confiables, de acuerdo con el tipo de solicitud y las reglas definidas.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional","Tarjeta crédito, tarjeta débito, cheques, recaudos",Propia,Si,,Aplicar novedad,,,,Publicada,,
CP0374,Gestión de la apertura,Activar producto,Validar información del producto,"Verificar la información del producto a partir de los datos suministrados por el cliente, necesarios para activar el producto o atender una solicitud asociada a su ciclo de vida.
Esta capacidad permite validar que los datos requeridos al cliente —identificación, producto asociado, condiciones solicitadas, parámetros, documentos soporte y consentimientos— sean completos, consistentes, vigentes y confiables, de acuerdo con el tipo de solicitud y las reglas definidas.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional","Tarjeta crédito, tarjeta débito, cheques, recaudos",Propia,Si,,Abrir producto,,,,Publicada,,
CP0382,Gestión de uso del producto,Crear instrucción de la transacción,Identificar producto y titular,"Reconocer y validar de manera inequívoca el producto y su titular, con el fin de asegurar que las operaciones, solicitudes o transacciones se realicen sobre el producto correcto y por la persona o entidad autorizada.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional","Depósitos a la vista, depósitos a plazo, tarjeta crédito, tarjeta débito, pagos digitales, cheques, recaudos, adquirencia, aceptación digital, pagos empresariales",Propia,Si,,Ejecutar transacción monetaria,,,,Publicada,,
CP0383,Gestión de uso del producto,Crear instrucción de la transacción,Validar condiciones del producto origen,"Verificar que el producto origen cumpla con las condiciones necesarias para soportar una operación, solicitud o cambio, de acuerdo con las reglas del negocio y las políticas vigentes.
Esta capacidad permite validar las condiciones del producto origen, tales como estado, vigencia, cupos, límites, restricciones operativas, condiciones comerciales y reglas contractuales, asegurando que el producto sea apto para continuar el proceso.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional","Depósitos a la vista, depósitos a plazo, tarjeta crédito, tarjeta débito, pagos digitales, cheques, recaudos, adquirencia, aceptación digital, pagos empresariales",Propia,Si,,Ejecutar transacción monetaria,,,,Publicada,,
CP0385,Gestión de uso del producto,Crear instrucción de la transacción,Validar topes,"Verificar que una operación, solicitud o transacción se encuentre dentro de los topes definidos para el producto, de acuerdo con las condiciones y reglas vigentes.
Esta capacidad permite validar los topes aplicables —como montos máximos y mínimos, cupos disponibles, frecuencias, acumulados diarios o mensuales y restricciones por canal— contrastando la solicitud con los límites operativos y comerciales configurados para el producto y el titular.",,,Habilitación Empresarial,Gestión de la seguridad,Gestión del fraude,,Si,,Ejecutar transacciones monetarias,,,,Publicada,,
CP0385,Gestión de uso del producto,Crear instrucción de la transacción,Validar topes,"Verificar que una operación, solicitud o transacción se encuentre dentro de los topes definidos para el producto, de acuerdo con las condiciones y reglas vigentes.
Esta capacidad permite validar los topes aplicables —como montos máximos y mínimos, cupos disponibles, frecuencias, acumulados diarios o mensuales y restricciones por canal— contrastando la solicitud con los límites operativos y comerciales configurados para el producto y el titular.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",Gestión del fraude,Propia / Heredada,Si,,Ejecutar transacción monetaria,,,,Publicada,,
CP0387,Gestión de uso del producto,Crear instrucción de la transacción,Identificar posibilidad de fraude,"Detectar indicios de fraude durante el proceso de autorización de una transacción, con el fin de prevenir operaciones no legítimas y proteger al cliente y a la organización.
Esta capacidad permite identificar la posibilidad de fraude analizando la transacción en tiempo real, a partir de reglas, modelos analíticos y señales de comportamiento, tales como patrones transaccionales, contexto del canal, dispositivo, ubicación, historial del producto y del titular, y alertas de seguridad vigentes.",,,Habilitación Empresarial,Gestión de la seguridad,Gestión del fraude,,Si,,Ejecutar transacciones monetarias,,,,Publicada,,
CP0387,Gestión de uso del producto,Crear instrucción de la transacción,Identificar posibilidad de fraude,"Detectar indicios de fraude durante el proceso de autorización de una transacción, con el fin de prevenir operaciones no legítimas y proteger al cliente y a la organización.
Esta capacidad permite identificar la posibilidad de fraude analizando la transacción en tiempo real, a partir de reglas, modelos analíticos y señales de comportamiento, tales como patrones transaccionales, contexto del canal, dispositivo, ubicación, historial del producto y del titular, y alertas de seguridad vigentes.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",Gestión del fraude,Heredada,Si,,Ejecutar transacción monetaria,,,,Publicada,,
CP0388,Gestión de uso del producto,Crear instrucción de la transacción,Verificar autenticidad de la transacción,"Confirmar que una transacción es legítima y corresponde a una intención válida del titular o usuario autorizado, antes de ser aprobada.
Esta capacidad permite verificar la autenticidad de la transacción validando elementos como la identidad del cliente, credenciales, mecanismos de autenticación, contexto del canal, datos del producto y consistencia de la solicitud, de acuerdo con las políticas de seguridad y niveles de riesgo definidos.",,,Habilitación Empresarial,Gestión de la seguridad,Ciberseguridad,,Si,,Ejecutar transacciones monetarias,,,,Publicada,,
CP0388,Gestión de uso del producto,Crear instrucción de la transacción,Verificar autenticidad de la transacción,"Confirmar que una transacción es legítima y corresponde a una intención válida del titular o usuario autorizado, antes de ser aprobada.
Esta capacidad permite verificar la autenticidad de la transacción validando elementos como la identidad del cliente, credenciales, mecanismos de autenticación, contexto del canal, datos del producto y consistencia de la solicitud, de acuerdo con las políticas de seguridad y niveles de riesgo definidos.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",Ciberseguridad,Heredada,Si,,Ejecutar transacción monetaria,,,,Publicada,,
CP0389,Gestión de uso del producto,Crear instrucción de la transacción,Aplicar reglas de dispersión,Aplicar criterios para distribuir montos o transacciones según reglas definidas.,,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional","Depósitos a la vista
Depósitos a plazo",Propia,Si,,Ejecutar transacción monetaria,,,,Publicada,,
CP0390,Gestión de uso del producto,Crear instrucción de la transacción,Calcular valor a cobrar,"Determinar el valor total a cobrar asociado a una transacción, garantizando la correcta aplicación de las condiciones económicas definidas para el producto y el canal.
Esta capacidad permite calcular el valor a cobrar a partir del monto base de la transacción, incorporando de forma consistente tarifas, comisiones, impuestos, costos operativos, descuentos o beneficios aplicables, según el tipo de operación, el producto, el titular y el canal utilizado.",,,Estrategia de los negocios,Modelo de Precio (pricing),N.A,,Si,,Ejecutar transacciones monetarias,,,,Publicada,,
CP0390,Gestión de uso del producto,Crear instrucción de la transacción,Calcular valor a cobrar,"Determinar el valor total a cobrar asociado a una transacción, garantizando la correcta aplicación de las condiciones económicas definidas para el producto y el canal.
Esta capacidad permite calcular el valor a cobrar a partir del monto base de la transacción, incorporando de forma consistente tarifas, comisiones, impuestos, costos operativos, descuentos o beneficios aplicables, según el tipo de operación, el producto, el titular y el canal utilizado.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",N.A,Propia,Si,,Ejecutar transacción monetaria,,,,Publicada,,
CP0391,Gestión de uso del producto,Crear instrucción de transacción,Exponer valor a cobrar,"Poner a disposición el valor a cobrar asociado a una transacción, asegurando su claridad, consistencia y disponibilidad para los actores, canales o sistemas que intervienen en el proceso.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional","Depósitos a la vista, depósitos a plazo, tarjeta crédito, tarjeta débito, pagos digitales, cheques, recaudos, adquirencia, aceptación digital, pagos empresariales",Propia,Si,,Ejecutar transacción monetaria,,,,Publicada,,
CP0392,Gestión de uso del producto,Crear instrucción de la transacción,Generar instrucción de la transacción,"Construir y estandarizar la instrucción que describe una transacción, con el fin de que pueda ser procesada, enrutada y ejecutada por los productos, rieles o redes correspondientes.
Esta capacidad permite generar la instrucción de la transacción consolidando la información mínima requerida (por ejemplo: cuentas origen y destino, monto, comisiones, topes e impuestos) y asignando un identificador para su trazabilidad, de manera que la transacción pueda ser tratada individualmente o en lote (batch).",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional","Depósitos a la vista, depósitos a plazo, tarjeta crédito, tarjeta débito, pagos digitales, cheques, recaudos, adquirencia, aceptación digital, pagos empresariales",Propia,Si,,Ejecutar transacción monetaria,,,,Publicada,,
CP0392,Gestión de uso del producto,Crear instrucción de la transacción,Generar instrucción de la transacción,"Construir y estandarizar la instrucción que describe una transacción, con el fin de que pueda ser procesada, enrutada y ejecutada por los productos, rieles o redes correspondientes.
Esta capacidad permite generar la instrucción de la transacción consolidando la información mínima requerida (por ejemplo: cuentas origen y destino, monto, comisiones, topes e impuestos) y asignando un identificador para su trazabilidad, de manera que la transacción pueda ser tratada individualmente o en lote (batch).",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional","Depósitos a la vista, depósitos a plazo, tarjeta crédito, tarjeta débito, pagos digitales, cheques, recaudos, adquirencia, aceptación digital, pagos empresariales",Propia,Si,,Aplicar novedad,,,,Publicada,,
CP0392,Gestión de uso del producto,Crear instrucción de la transacción,Generar instrucción de la transacción,"Construir y estandarizar la instrucción que describe una transacción, con el fin de que pueda ser procesada, enrutada y ejecutada por los productos, rieles o redes correspondientes.
Esta capacidad permite generar la instrucción de la transacción consolidando la información mínima requerida (por ejemplo: cuentas origen y destino, monto, comisiones, topes e impuestos) y asignando un identificador para su trazabilidad, de manera que la transacción pueda ser tratada individualmente o en lote (batch).",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional","Depósitos a la vista, depósitos a plazo, tarjeta crédito, tarjeta débito, pagos digitales, cheques, recaudos, adquirencia, aceptación digital, pagos empresariales",Propia,Si,,Ejecutar transacción monetaria,,,,Publicada,,
CP0394,Gestión de uso del producto,Ejecutar transacción,Enrutar transacción,"Dirigir una transacción hacia el riel, red, producto o cámara de compensación correspondiente, de acuerdo con sus características y las reglas definidas.
Esta capacidad permite enrutar la transacción a partir de la instrucción generada, utilizando reglas y algoritmos de enrutamiento en tiempo real que consideran variables como tipo de transacción, producto, canal, disponibilidad de rieles, costos, liquidez y criterios de eficiencia operativa, con el fin de optimizar el procesamiento",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional","Depósitos a la vista, depósitos a plazo, tarjeta crédito, tarjeta débito, pagos digitales, cheques, recaudos, adquirencia, aceptación digital, pagos empresariales",Propia,Si,,Ejecutar transacción monetaria,,,,Publicada,,
CP0395,Gestión de uso del producto,Ejecutar transacción,Solicitar autorización al producto de destino,"Solicitar la autorización transmitiendo la instrucción de la transacción —ya validada y enruta— al producto de destino, para que éste evalúe criterios como estado del producto, cupos, reglas operativas, condiciones comerciales y controles de riesgo, y emita una respuesta formal de autorización.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional","Depósitos a la vista, depósitos a plazo, tarjeta crédito, tarjeta débito, pagos digitales, cheques, recaudos, adquirencia, aceptación digital, pagos empresariales",Propia,Si,,Ejecutar transacción monetaria,,,,Publicada,,
CP0396,Gestión de uso del producto,Ejecutar transacción,Aplicar movimiento monetario,"Aplicar el movimiento monetario (debitar, acreditar o ambos) de acuerdo con la instrucción de la transacción y la autorización recibida, actualizando los saldos disponibles, contables y operativos del producto, y registrando el movimiento con su respectiva trazabilidad.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional","Depósitos a la vista, Depósitos a plazo",Propia,Si,,Ejecutar transacción monetaria,,,,Publicada,,
CP0399,Gestión de uso del producto,Ejecutar transacción,Realizar reintento de transacción,"Realizar el reintento de la transacción reutilizando la instrucción original y aplicando las reglas definidas para reintentos, considerando causales como rechazos técnicos, indisponibilidad temporal de rieles o redes, errores operativos o validaciones no concluyentes, y respetando los criterios de control establecidos.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional","Depósitos a la vista, depósitos a plazo, tarjeta crédito, tarjeta débito, pagos digitales, cheques, recaudos, adquirencia, aceptación digital, pagos empresariales",Propia,Si,,Ejecutar transacción monetaria,,,,Publicada,,
CP0401,Gestión de uso del producto,Procesar transacción,Conciliar transacción,Comparar y verificar una transacción entre diferentes fuentes para confirmar su correspondencia.,,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional","Depósitos a la vista, depósitos a plazo, tarjeta crédito, tarjeta débito, pagos digitales, cheques, recaudos, adquirencia, aceptación digital, pagos empresariales",Propia,Si,,Ejecutar transacción monetaria,,,,Publicada,,
CP0402,Gestión de uso del producto,Procesar transacción,Validar transacción presentada,"Validar la transacción presentada comprobando aspectos como la completitud y formato de la información, la correspondencia con la instrucción recibida, el estado de la transacción, y el cumplimiento de reglas transversales de negocio, topes, listas y controles antifraude, de acuerdo con el contexto del producto y el canal",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional","Depósitos a la vista, depósitos a plazo, tarjeta crédito, tarjeta débito, pagos digitales, cheques, recaudos, adquirencia, aceptación digital, pagos empresariales",Propia,Si,,Ejecutar transacción monetaria,,,,Publicada,,
CP0407,Gestión Contable,Procesar transacción,Registrar asiento contable,"Registrar en los sistemas contables el impacto financiero de una transacción, mediante la creación del asiento contable correspondiente, garantizando su correcta clasificación, integridad y trazabilidad.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional","Depósitos a la vista, depósitos a plazo, tarjeta crédito, tarjeta débito, pagos digitales, cheques, recaudos, adquirencia, aceptación digital, pagos empresariales",Propia,Si,,Ejecutar transacción monetaria,,,,Publicada,,
CP0408,Gestión de uso del producto,Compensar transacción,Calcular valor a compensar,"Determinar el monto neto que debe ser compensado en un ciclo de compensación, a partir de las transacciones que impactan la cuenta compensadora, con el fin de preparar la ejecución de la compensación y la posterior liquidación de fondos considerando los resultados de la aplicación de las reglas de compensación, los ciclos definidos por la cámara o riel, y los ajustes asociados a comisiones, impuestos, devoluciones o reversiones, obteniendo como resultado la posición neta a favor o en contra de la cuenta compensadora.
Agrupar, calcular y consolidar los costos e ingresos administrativos derivados del proceso de compensación, con el fin de reflejar de manera integral el impacto económico de la operación de compensación sobre la cuenta compensadora y los resultados del negocio considerando conceptos como comisiones operativas, tarifas de cámaras o rieles, costos por procesamiento, ingresos por servicios de compensación y ajustes administrativos,",,,Negocios,"Medios de pago, soluciones para empresas, transferencias, comercio internacional","Depósitos a la vista, depósitos a plazo, tarjeta crédito, tarjeta débito, pagos digitales, cheques, recaudos, adquirencia, aceptación digital, pagos empresariales",Propia,Si,,Procesar compensación,,,,Publicada,,
CP0410,Gestión de uso del producto,Fondear transacciones,Proyectar comportamiento de transacciones,"Estimar y anticipar el comportamiento futuro de las transacciones, con el fin de soportar la toma de decisiones operativas, financieras y de control en el procesamiento transaccional.
Esta capacidad permite proyectar el comportamiento de las transacciones a partir del análisis de información histórica y datos en tiempo real, utilizando modelos analíticos y predictivos que identifican patrones de volumen, frecuencia, estacionalidad y picos transaccionales, considerando el contexto del producto, canal, riel o cámara de compensación",,,Negocios,"Medios de pago, soluciones para empresas, transferencias, comercio internacional","Depósitos a la vista, depósitos a plazo, tarjeta crédito, tarjeta débito, pagos digitales, cheques, recaudos, adquirencia, aceptación digital, pagos empresariales",Propia,Si,,Fondear transacción monetaria,,,,Publicada,,
CP0411,Gestión de uso del producto,Fondear transacciones,Ajustar fondeo de cuenta,"Modificar y optimizar el fondeo de una cuenta con el fin de asegurar la disponibilidad de recursos necesaria para soportar el procesamiento transaccional y la liquidación de operacione a partir del análisis del comportamiento transaccional, los saldos disponibles y las proyecciones de liquidez, aplicando mecanismos de prefondeo proactivo o fondeo reactivo según la demanda real y esperada, y considerando las reglas definidas para cada riel, cámara de compensación o producto",,,Negocios,"Medios de pago, soluciones para empresas, transferencias, comercio internacional","Depósitos a la vista, depósitos a plazo, tarjeta crédito, tarjeta débito, pagos digitales, cheques, recaudos, adquirencia, aceptación digital, pagos empresariales",Propia,Si,,Fondear transacción monetaria,,,,Publicada,,
CP0413,Gestión de uso del producto,Compensar transacción,Aplicar regla de compensación,"Ejecutar las reglas definidas para la compensación de transacciones, con el fin de determinar cómo deben netearse, priorizarse y liquidarse los movimientos monetarios que impactan la cuenta compensadora considerando criterios como tipo de operación (débito/crédito), ciclo de compensación, riel o cámara, prioridades operativas, límites de saldo y condiciones de neteo, garantizando que el resultado de la compensación refleje la posición neta correcta a favor o en contra de la cuenta compensadora.",,,Negocios,"Medios de pago, soluciones para empresas, transferencias, comercio internacional","Depósitos a la vista, depósitos a plazo, tarjeta crédito, tarjeta débito, pagos digitales, cheques, recaudos, adquirencia, aceptación digital, pagos empresariales",Propia,Si,,Procesar compensación,,,,Publicada,,
CP0417,Gestión de novedades,Validar reglas de la novedad en el producto,Identificar tipo de novedad,"Analizar y clasificar una novedad asociada a una transacción con el fin de determinar su naturaleza, causa y tratamiento operativo adecuado.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional","Depósitos a la vista, depósitos a plazo, tarjeta crédito, tarjeta débito, pagos digitales, cheques, recaudos, adquirencia, aceptación digital, pagos empresariales",Propia,Si,,Aplicar novedad,,,,Publicada,,
CP0417,Cobro y novedades,Validar reglas de la novedad en el producto,Identificar tipo de novedad,"Analizar y clasificar una novedad asociada a una transacción con el fin de determinar su naturaleza, causa y tratamiento operativo adecuado.",,,Estrategia de los negocios,Modelo de Precio (pricing),No aplica,Heredada,Sí,,Aplicar novedades,,,,Publicada,,
CP0422,Gestión de novedades,Validar reglas de la novedad en el producto,Consultar reincidencias del cliente,Consultar el historial del cliente para identificar eventos o comportamientos repetidos.,,,Clientes,Relacionamiento con clientes,N.A,,Si,,Aplicar novedades,,,,Publicada,,
CP0422,Cobro y novedades,Validar reglas de la novedad en el producto,Consultar reincidencias del cliente,Consultar el historial del cliente para identificar eventos o comportamientos repetidos.,,,Estrategia de los negocios,Modelo de Precio (pricing),No aplica,Heredada,Sí,,Aplicar novedades,,,,Publicada,,
CP0422,Gestión de novedades,Validar reglas de la novedad en el producto,Consultar reincidencias del cliente,Consultar el historial del cliente para identificar eventos o comportamientos repetidos.,,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",N.A,Propia,Si,,Aplicar novedad,,,,Publicada,,
CP0425,Gestión de novedades,Validar reglas de la novedad en el producto,Consultar información de seguridad del producto,"Obtener y visualizar la información relacionada con la seguridad de un producto, con el fin de validar su estado, restricciones y controles antes de ejecutar o continuar una operación.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional","Depósitos a la vista, depósitos a plazo, tarjeta crédito, tarjeta débito, pagos digitales, cheques, recaudos, adquirencia, aceptación digital, pagos empresariales",Propia,Si,,Aplicar novedad,,,,Publicada,,
CP0425,Cobro y novedades,Validar reglas de la novedad en el producto,Consultar información de seguridad del producto,"Obtener y visualizar la información relacionada con la seguridad de un producto, con el fin de validar su estado, restricciones y controles antes de ejecutar o continuar una operación.",,,Estrategia de los negocios,Modelo de Precio (pricing),No aplica,Heredada,Sí,,Aplicar novedades,,,,Publicada,,
CP0426,Gestión de novedades,Validar reglas de la novedad en el producto,Evaluar reglas aplicables a la novedad,"Analizar una novedad identificada en el proceso transaccional o de compensación y contrastarla contra las reglas de negocio vigentes, con el fin de definir el tratamiento correcto que debe aplicarse.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional","Depósitos a la vista, depósitos a plazo, tarjeta crédito, tarjeta débito, pagos digitales, cheques, recaudos, adquirencia, aceptación digital, pagos empresariales",Propia,Si,,Aplicar novedad,,,,Publicada,,
CP0426,Cobro y novedades,Validar reglas de la novedad en el producto,Evaluar reglas aplicables a la novedad,"Analizar una novedad identificada en el proceso transaccional o de compensación y contrastarla contra las reglas de negocio vigentes, con el fin de definir el tratamiento correcto que debe aplicarse.",,,Estrategia de los negocios,Modelo de Precio (pricing),No aplica,Heredada,Sí,,Aplicar novedades,,,,Publicada,,
CP0429,Gestión de novedades,Validar reglas de la novedad en el producto,Monitorear vigencia del parámetro,"Verificar y controlar la vigencia temporal de los parámetros configurados en los sistemas, con el fin de asegurar que las reglas, validaciones y comportamientos operativos se apliquen únicamente dentro del periodo autorizado.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional","Depósitos a la vista, depósitos a plazo, tarjeta crédito, tarjeta débito, pagos digitales, cheques, recaudos, adquirencia, aceptación digital, pagos empresariales",Propia,Si,,Aplicar novedad,,,,Publicada,,
CP0429,Cobro y novedades,Validar reglas de la novedad en el producto,Monitorear vigencia del parámetro,"Verificar y controlar la vigencia temporal de los parámetros configurados en los sistemas, con el fin de asegurar que las reglas, validaciones y comportamientos operativos se apliquen únicamente dentro del periodo autorizado.",,,Estrategia de los negocios,Modelo de Precio (pricing),No aplica,Heredada,Sí,,Aplicar novedades,,,,Publicada,,
CP0453,Gestión de novedades,Aplicar novedad,Aplicar reexpedición,"Ejecutar la reemisión y reenvío de un producto físico como consecuencia de una novedad aplicada, cuando el producto original presenta fallas, pérdida, deterioro, error operativo o requiere una nueva materialización.",,,Negocios,"Medios de pago, soluciones para empresas, comercio internacional","Depósitos a la vista, depósitos a plazo, tarjeta crédito, tarjeta débito, pagos digitales, cheques, recaudos, adquirencia, aceptación digital, pagos empresariales",Propia,Si,,Aplicar novedad,,,,Publicada,,
CP0454,Servicios transversales ,Entregar producto,Entregar producto,"Realizar la entrega del producto al cliente en una sucursal física, garantizando una entrega controlada, segura y conforme a las condiciones definidas.
Esta capacidad permite disponer el producto en la sucursal, verificar la identidad del cliente o autorizado, realizar la entrega física y dejar constancia de la recepción, asegurando el cumplimiento de los lineamientos operativos, de seguridad y de experiencia definidos por la organización.",,,Negocios,"Medios de pago, soluciones para empresas",N/A,Propia,Si,,Aplicar novedad,,,,Publicada,,
CP0461,Gestión contable,Normalizar la cuenta,Identificar el tipo de ajuste,"Determinar el tipo de ajuste que debe aplicarse a una diferencia identificada, según su causa, naturaleza y reglas definidas, con el fin de corregirla adecuadamente.",,,Habilitación Empresarial,"Gestión Financiera, Contable y Tributaria",Gestión Contable,,Si,,Ejecutar el cuadre contable del producto,,,,Publicada,,
CP0461,Gestión contable,Normalizar la cuenta,Identificar el tipo de ajuste,"Determinar el tipo de ajuste que debe aplicarse a una diferencia identificada, según su causa, naturaleza y reglas definidas, con el fin de corregirla adecuadamente.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",Gestión Contable,Heredada,Si,,Ejecutar el cuadre contable del producto,,,,Publicada,,
CP0462,Gestión contable,Normalizar la cuenta,Calcular valor a registrar,"Determinar el valor exacto que debe registrarse como ajuste, a partir de la diferencia identificada y las reglas definidas, con el fin de corregir la información de manera precisa",,,Habilitación Empresarial,"Gestión Financiera, Contable y Tributaria",Gestión Contable,,Si,,Ejecutar el cuadre contable del producto,,,,Publicada,,
CP0462,Gestión contable,Normalizar la cuenta,Calcular valor a registrar,"Determinar el valor exacto que debe registrarse como ajuste, a partir de la diferencia identificada y las reglas definidas, con el fin de corregir la información de manera precisa",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",Gestión Contable,Heredada,Si,,Ejecutar el cuadre contable del producto,,,,Publicada,,
CP0463,Gestión contable,Normalizar la cuenta,Generar asiento contable,"Registrar en la contabilidad el asiento correspondiente al movimiento o ajuste realizado, reflejando correctamente las cuentas, valores y naturaleza contable según las reglas aplicables",,,Habilitación Empresarial,"Gestión Financiera, Contable y Tributaria",Gestión Contable,,Si,,Ejecutar el cuadre contable del producto,,,,Publicada,,
CP0463,Gestión contable,Normalizar la cuenta,Generar asiento contable,"Registrar en la contabilidad el asiento correspondiente al movimiento o ajuste realizado, reflejando correctamente las cuentas, valores y naturaleza contable según las reglas aplicables",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",Gestión Contable,Heredada,Si,,Ejecutar el cuadre contable del producto,,,,Publicada,,
CP0466,Gestión contable,Certificar cuentas,Consolidar saldo y movimiento del periodo,"Integrar y resumir los saldos y movimientos registrados durante un periodo, con el fin de obtener una visión consolidada y consistente de la información para análisis, conciliación y control.",,,Habilitación Empresarial,"Gestión Financiera, Contable y Tributaria",Gestión contable,,Si,,Ejecutar el cuadre contable del producto,,,,Publicada,,
CP0466,Gestión contable,Certificar cuentas,Consolidar saldo y movimiento del periodo,"Integrar y resumir los saldos y movimientos registrados durante un periodo, con el fin de obtener una visión consolidada y consistente de la información para análisis, conciliación y control.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",Gestión contable,Heredada,Si,,Ejecutar el cuadre contable del producto,,,,Publicada,,
CP0467,Gestión contable,Certificar cuentas,Evaluar variación y razonabilidad,"Analizar las variaciones de saldos y movimientos frente a periodos, referencias o expectativas definidas, para determinar si su comportamiento es razonable y consistente con la operación.",,,Habilitación Empresarial,"Gestión Financiera, Contable y Tributaria",Gestión contable,,Si,,Ejecutar el cuadre contable del producto,,,,Publicada,,
CP0467,Gestión contable,Certificar cuentas,Evaluar variación y razonabilidad,"Analizar las variaciones de saldos y movimientos frente a periodos, referencias o expectativas definidas, para determinar si su comportamiento es razonable y consistente con la operación.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",Gestión contable,Heredada,Si,,Ejecutar el cuadre contable del producto,,,,Publicada,,
CP0468,Gestión contable,Certificar cuentas,Sustentar diferencia contable,"Justificar y documentar la diferencia contable identificada, explicando su origen, permanencia y tratamiento, con el fin de respaldar la información y permitir su certificación y control.",,,Habilitación Empresarial,"Gestión Financiera, Contable y Tributaria",Gestión contable,,Si,,Ejecutar el cuadre contable del producto,,,,Publicada,,
CP0468,Gestión contable,Certificar cuentas,Sustentar diferencia contable,"Justificar y documentar la diferencia contable identificada, explicando su origen, permanencia y tratamiento, con el fin de respaldar la información y permitir su certificación y control.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",Gestión contable,Heredada,Si,,Ejecutar el cuadre contable del producto,,,,Publicada,,
